time,f0,confidence,loudness
0.0,625.4829821411254,0.039918393,-12.099799329641243
0.01,633.7196583869173,0.105947316,-11.915115778358098
0.02,634.5183464376971,0.11384088,-12.385586465221934
0.03,646.2714425322264,0.123505265,-12.398908326308755
0.04,651.7858538954256,0.109383434,-12.435141146389304
0.05,598.5184503748817,0.0782541,-12.426386460388432
0.06,626.4581276857726,0.10302886,-12.408164709751052
0.07,634.5413268392733,0.0603787,-12.426153778422023
0.08,646.6363461500564,0.12967756,-12.410052968687982
0.09,661.7117401373026,0.040089816,-12.427337988188935
0.1,661.0906760185923,0.07980242,-12.41390380821853
0.11,634.9880230675396,0.084979236,-12.435877799089216
0.12,645.9933284097242,0.09340951,-12.523679738192877
0.13,659.0472588511058,0.09031919,-12.463507119888794
0.14,639.8818937288682,0.09774569,-12.483974596671796
0.15,623.5219389068181,0.06584942,-12.472389571698555
0.16,626.0170925330503,0.07404831,-12.422919226938486
0.17,645.0586215571614,0.10650414,-12.42868588287932
0.18,650.6084630430569,0.13071707,-12.434543563944391
0.19,633.5106902231596,0.07437828,-12.41616642758163
0.2,626.2116762065559,0.11303276,-12.448193181868588
0.21,635.6208117478855,0.067261964,-12.441951950820334
0.22,646.7594541698179,0.1215367,-12.458547394859936
0.23,658.9064338154968,0.06559199,-12.4598722292038
0.24,658.1882521991988,0.096910805,-12.4452751357772
0.25,625.0247370797281,0.09366435,-12.38967424388615
0.26,641.5246167661924,0.098290324,-12.38293070621883
0.27,646.7077651441521,0.13818696,-12.444704361139127
0.28,652.186436929506,0.108556,-12.43988564186256
0.29,624.5067423752375,0.08358988,-12.453528045709394
0.3,625.1128329792193,0.1006529,-12.474543155187368
0.31,634.4103462430903,0.051469952,-12.457215622637184
0.32,644.823319590846,0.107518375,-12.441797236352286
0.33,658.0022586374882,0.12270939,-12.443876003247789
0.34,624.3507541480284,0.102790296,-12.455115476667736
0.35,634.6116242451087,0.11707908,-12.426601806532899
0.36,646.2154592187776,0.115383536,-12.453681911785281
0.37,646.3434353830658,0.1432795,-12.453933765774673
0.38,652.2359747771321,0.12152329,-12.454128353075138
0.39,624.609168071149,0.09910485,-12.42355543721289
0.4,626.3242092817782,0.10385656,-12.359227337810905
0.41,635.120158154203,0.06306952,-12.405793696848212
0.42,644.525783510166,0.16011578,-12.408389848822354
0.43,658.325144530743,0.099922776,-12.3970034610962
0.44,625.2839146535624,0.08807677,-12.414082144501586
0.45,633.4683481511352,0.097372204,-12.414169389012237
0.46,634.5643188629977,0.10850111,-12.456603479068308
0.47,650.2112848761183,0.13778552,-12.444659289415144
0.48,657.896203195632,0.107525855,-12.430453575387087
0.49,625.5371010049059,0.10863006,-12.381679495052447
0.5,636.1938890017832,0.105481595,-12.410242562427607
0.51,646.5969508844571,0.13114864,-12.432702349179982
0.52,650.4619489874455,0.13634878,-12.425355558456298
0.53,657.8126843932865,0.099944115,-12.413443603663763
0.54,626.6238314320224,0.11706522,-12.40341755934154
0.55,634.4259560881791,0.06651142,-12.444679035896062
0.56,645.5588418189104,0.10885504,-12.508868387126196
0.57,657.6133509087792,0.11678904,-12.530819361997667
0.58,657.0030032765633,0.09818736,-12.442332550827903
0.59,625.4324697348703,0.115364134,-12.434797062614923
0.6,634.1489469970995,0.066360235,-12.432139723797977
0.61,645.6477675613935,0.13047192,-12.444642653075514
0.62,652.1395582323988,0.12764898,-12.422421768266833
0.63,624.6541800868036,0.0955753,-12.362265234781328
0.64,625.9848243311601,0.1150552,-12.340168602440269
