time,f0,confidence,loudness
0.0,648.7011701777376,0.12402895,-12.371210029098899
0.003,647.2089912279905,0.05853644,-12.221516460473799
0.006,645.7618074278257,0.09290585,-12.178903558896662
0.009,657.3927243160642,0.09304118,-12.194499208166686
0.012,658.8761439220173,0.07860389,-12.275617769465068
0.015,658.7518642727549,0.061398774,-12.390261858835308
0.018,659.1348107922688,0.070265025,-12.539743498072246
0.021,623.7618878718293,0.072521985,-12.546998147356655
0.024,632.2571600508288,0.084162384,-12.549675109883488
0.027,625.1844585332525,0.078671575,-12.56119699641248
0.03,626.0909389328369,0.09982398,-12.577830627447074
0.033,633.6405364242755,0.099805355,-12.561441160763035
0.036,634.5971318859027,0.108355224,-12.547796222730234
0.039,633.9242563831358,0.11661145,-12.534034566533128
0.042,634.0760987217312,0.12098497,-12.522121433458532
0.045,644.6960794303486,0.13831455,-12.529997661406346
0.048,645.6172073128639,0.13951534,-12.519862484905632
0.051,646.9375224353183,0.13468015,-12.525382654582435
0.054,652.1434899092349,0.13197997,-12.51931287147926
0.057,652.7797247797076,0.12227905,-12.514340958568962
0.06,657.6583175322603,0.115144044,-12.50084352578608
0.063,657.8337569784911,0.11181256,-12.490438022238306
0.066,657.0822452499019,0.103233814,-12.50965166576301
0.069,656.6311584643477,0.089430094,-12.523410355480559
0.072,656.4030231845283,0.08521986,-12.54368676223682
0.075,657.0015805712419,0.08256942,-12.539225269006373
0.078,625.0244489559582,0.092220515,-12.522499083399627
0.081,633.6362928888375,0.09474051,-12.524334886920014
0.084,634.2644644937299,0.09649789,-12.52907718169711
0.087,634.0852528399117,0.09677985,-12.548260496101582
0.09,641.4572161606783,0.09256056,-12.546651051279829
0.093,647.2028865158347,0.09888646,-12.535266962373983
0.096,646.5334947686172,0.10177019,-12.523363482373371
0.099,646.3377169780098,0.11524764,-12.526589164067913
0.102,647.0518295192051,0.12653917,-12.561867700439981
0.105,647.215307239893,0.121831834,-12.579709248489213
0.108,647.6647201480941,0.10124606,-12.563861986168854
0.111,658.7961997995787,0.07488981,-12.541741907443068
0.114,659.8217078772337,0.05397737,-12.525977453199681
0.117,659.7932397518305,0.045555443,-12.511335552352085
0.12,659.52904218382,0.058582842,-12.488607632796793
0.123,659.4499221591183,0.07990217,-12.500184135178094
0.126,660.0637862170054,0.090399444,-12.507933804962548
0.129,659.7444345650704,0.083035916,-12.502009770887508
0.132,624.4388122338366,0.084200144,-12.516136357467202
0.135,625.8882622683586,0.08899248,-12.50759807554963
0.138,634.7610756636718,0.077760786,-12.498097310563267
0.141,636.3555101132281,0.08689082,-12.493554785981265
0.144,647.1302501759271,0.088582784,-12.472129835569131
0.147,647.4368632902031,0.087831676,-12.46348408117803
0.15,648.1197677402752,0.08420503,-12.451319484335475
0.153,651.6999397129332,0.10666993,-12.438495319430276
0.156,647.139912336264,0.12969938,-12.437113627626982
0.159,646.5764669080068,0.1403782,-12.422441020189115
0.162,646.8057804556269,0.1414235,-12.412846763805499
0.165,650.3966239551225,0.12520033,-12.415504002893696
0.168,649.6713922256494,0.10316968,-12.424622371228583
0.171,648.9389708595598,0.09430057,-12.431790144606188
0.174,648.4618132706223,0.09222001,-12.439146363625293
0.177,599.9476306662185,0.085564435,-12.450184065615112
0.18,599.8399904927767,0.08253431,-12.440283538367543
0.183,599.1691537767074,0.08484006,-12.43643061100986
0.186,623.6040563804947,0.08925158,-12.416868571569134
0.189,624.2190932956279,0.09112659,-12.410105174113918
0.192,625.1549831285387,0.095826566,-12.418680488978797
0.195,626.1902054711016,0.09726432,-12.43235225953983
0.198,633.9563037994797,0.09694311,-12.42179497445778
0.201,626.9222809240782,0.09235954,-12.42612918213286
0.204,643.8468187614159,0.1082131,-12.42565899980417
0.207,644.4842779147326,0.12216556,-12.431637408067393
0.21,645.0977674288156,0.12403333,-12.419349794354234
0.213,645.2891303641213,0.12561059,-12.402954108121772
0.216,645.7796269807346,0.12578315,-12.387624697499012
